GCAP ID,Name,Name clean,Website,"LEI 
(if applicable)",Country of HQ,UN Region,"Parent company 
(if applicable)","Annual Revenue in USD 
(if applicable)",Type,"Sector 
(if applicable)","Assets Under Mgt. 
(if financial institution)",Join Date (DD/MM/YYYY),Where did they publish in 2022?,Partner comment,Update round,On Data Explorer?,IWCA,Business Declares ,Fashion Charter,Health Care Without Harm,Net Zero Banking Alliance,Venture Climate Alliance,Paris Alligned Asset Owners,Planet Mark,Pledge to Net Zero,Sports for Climate Action Framework,Tech Zero,UN Convened Net-Zero Asset Owner Alliance,JCI RTZ Circle,Cities Race to Zero,Net Zero Asset Managers Initiative,Under 2 Coalition,Climate Action Accelerator,SBTi,Global Universities & Colleges,Exponential Roadmap Initiative,Scotch Whiskey Association,SME Climate Hub,Net Zero Investment Consultants Initiative,Net Zero Exchanges Group,(NZFSPA)Net Zero Financial Service Providers Alliance - Exchange Group,Net Zero Export Credit Agencies Alliance
,ASM Technologies,asm technologies,https://asmtech.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Technology Hardware and Equipment,,20/4/2023,,Targets set,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Aspex UK Ltd,aspex uk,https://aspex-uk.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Wood and straw products manufacturing not furniture,,23/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Aspire4u,aspire4u,https://aspire4u.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Education,,08/03/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Astor Bannerman (Medical) Ltd,astor bannerman (medical),,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other manufacturing,,01/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Atlas,atlas,http://www.chooseatlas.com,,United States of America,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,10/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,"Atrato Capital Limited (""Atrato Capital"")","atrato (""atrato capital"")",,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,1480000000,22/03/2023,,,Jul-23,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
,"Atrato Partners Limited (""Atrato Partners"")","atrato partners (""atrato partners"")",,,United Kingdom,Western European and Others Group (WEOG),,,Financial Institution,,170000000,22/03/2023,,,Jul-23,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,
,AUCNET INC.,aucnet,https://www.aucnet.co.jp/en/,2138008S9UYI8TYJ8H39,Japan,Asia-Pacific Group,,,Company,Software and Services,,1/6/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,"Aurisco Pharmaceutical Co., Ltd",aurisco pharmaceutical,http://www.aurisco.com,,China,Asia-Pacific Group,,,Company,"Pharmaceuticals, Biotechnology and Life",,20/4/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Austin Smith Lord Limited,austin smith lord,http://austinsmithlord.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,05/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Authentic Solutions,authentic solutions,http://N/A,,Singapore,Asia-Pacific Group,,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,17/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Automationspartner,automationspartner,http://automationspartner.se,,Sweden,Western European and Others Group (WEOG),,,SME,Electrical machinery and apparaturs manufacturing,,15/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Autumn Dahlia Creative Services LLC,autumn dahlia creative services,http://www.autumndahlia.com%20instagram.com/autumndahliacreations,,United States of America,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,28/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Avalon Plastics Limited,avalon plastics,http://www.avalonplastics.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Plastic and rubber products manufacturing,,27/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Avinor AS,avinor,https://avinor.no/,5967007LIEEXZX8ZW078,Norway,Western European and Others Group (WEOG),,,Company,Air Transportation - Airport Services,,15/6/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Avyannaa,avyannaa,http://Www.Avyannaa.in,,India,Asia-Pacific Group,,,SME,Retail and wholesale,,19/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,AW Construction Services,aw construction services,https://awltd.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,15/03/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Awesome,awesome,https://www.smugmug.com,,United States of America,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,22/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,AWK Engineers Ltd,awk engineers,http://www.awkengineers.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,12/07/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,AXA Climate,axa climate,,,India,Asia-Pacific Group,,,SME,Activities of membership organisations,,01/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Axia Computer Systems Ltd,axia computer systems,http://www.axia.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,18/03/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,AXIS S.r.l.,axis,http://www.moore-axis.it%20/%20www.linkedin.com/company/moore-axis,,Italy,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,04/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,AZ Cloud Technologies Pvt. Ltd.,az cloud technologies,http://www.azccare.com,,India,Asia-Pacific Group,,,SME,Information technology (IT) software and computer related activities,,05/03/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,AZARC,azarc,http://www.azarc.io,,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,10/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Azote AB,azote,,,Sweden,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,15/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Azuri,azuri,https://www.azuri-group.com/,,Kenya,African Group,,,SME,Repair household goods,,03/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,B&M Packaging Services Limited,b&m packaging services,https://b-massociates.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other manufacturing,,25/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,B3M Ltd,b3m,http://www.b3m.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,23/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Bahir Dar University (BDU),bahir dar university (bdu),https://www.bdu.edu.et/,,Ethiopia,African Group,,,Higher Education,,,17/05/2023,Did not - joined less than 12 months ago,,Jul-23,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
,Banco BPM,bpm,https://www.gruppo.bancobpm.it/,,Italy,Western European and Others Group (WEOG),,,Financial Institution,,215307604994,07/03/2023,Did not - joined less than 12 months ago,,Jul-23,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,
,Baran Studio Architecture,baran studio architecture,http://www.baranstudio.com,,United States of America,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,10/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Barma Auto Parts LLC,barma auto parts,http://www.barmaparts.com,,United Arab Emirates,Asia-Pacific Group,,,SME,Motor vehicles sale and repair,,28/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Barnett Waddingham,barnett waddingham,www.barnett-waddingham.co.uk,,United Kingdom,Western European and Others Group (WEOG),,<250M,Company,Services,,20/09/2021,Own Website,"Assets Under Advice is more appropriate than Assets Under Management.  For our Investment Consulting business, this is c.$85bn",Jul-23,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
,Barr Gazetas,barr gazetas,www.barrgazetas.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and Engineering,,27/4/2023,,Targets set,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Barretto-Co. LLC,barretto-co,http://www.barretto-co.com,,United States of America,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,21/03/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,BASE Guitar Knobs,base guitar knobs,https://baseguitarknobs.com/,,United States of America,Western European and Others Group (WEOG),,,SME,Plastic and rubber products manufacturing,,17/03/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Bates IT Ltd,bates it,https://batesit.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Technology Hardware and Equipment,,30/3/2023,,Targets set,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Baxter Wagstaff Holdings TA woolleypau,baxter wagstaff ta woolleypau,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,10/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,BB TECNOLOGÍA INDUSTRIAL S.A.C.,bb tecnología industrial,http://www.bbti.com.pe,,Peru,Latin American and Caribbean Group (GRULAC),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,19/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,BBSO LLC,bbso,http://bbso.shop,,United States of America,Western European and Others Group (WEOG),,,SME,Creative arts and entertainment activities,,06/07/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,bClear,bclear,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,05/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,BD8 Ecoplastics Limited,bd8 ecoplastics,https://www.biodegradable8.com/,,China,Asia-Pacific Group,,,SME,Plastic and rubber products manufacturing,,03/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Beacon Impex Pvt. Limited,beacon impex,https://beaconimpex.com/,,Pakistan,Asia-Pacific Group,,,Company,"Textiles, Apparel, Footwear and Luxury Goods",,4/5/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Beauxhaus,beauxhaus,http://www.beauxhaus.co,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,29/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Beeston Fields,beeston fields,https://www.walledgardennottingham.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Restaurants,,13/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,BEINECOO,beinecoo,,,India,Asia-Pacific Group,,,SME,Other manufacturing,,31/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Belcan International ltd,belcan,http://www.belcan.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,06/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Bellagroup A/S,bellagroup,https://www.bellagroup.dk/,,Denmark,Western European and Others Group (WEOG),,,Company,"Hotels, Restaurants and Leisure, and Tourism Services",,29/6/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,BENCH Site Design,bench site design,,,Canada,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,05/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Beneva,beneva,https://www.beneva.ca/en,NA,Canada,Western European and Others Group (WEOG),,,Financial Institution,"Banks, Diverse Financials, Insurance",,1/6/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Berehayes Holiday Cottages,berehayes holiday cottages,http://www.berehayes.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Hotels and similar accommodation,,16/03/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Bexhill College,bexhill college,www.bexhillcollege.ac.uk ,,United Kingdom,Western European and Others Group (WEOG),,,Higher Education,,,19/07/2023,Did not - joined less than 12 months ago,,Jul-23,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
,BFF Nonwovens Ltd,bff nonwovens,http://www.nonwovenn.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Textile manufacturing,,19/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,bfinance,bfinance,www.bfinance.com,,United Kingdom,Western European and Others Group (WEOG),,,Company,Services,,20/09/2021,,Advised on investments exceeding $260+ billion. (Please note the majority of our relationships with clients are project focussed).,Jul-23,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
,Big Blue Door,big blue door,https://www.bigbluedoor.net/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,01/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Big Red Group Pty Ltd,big red,https://www.thebigredgroup.com.au/,,Australia,Western European and Others Group (WEOG),,,SME,"Hotels, Restaurants and Leisure, and Tourism Services",,22/6/2023,,Targets set,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Bilfinger SE,bilfinger,https://www.bilfinger.com/,529900H0HULEN2BZ4604,Germany,Western European and Others Group (WEOG),,,Company,Construction and Engineering,,20/4/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Billerud AB,billerud,https://www.billerud.com/,,Sweden,Western European and Others Group (WEOG),,,Company,"Forest and paper products - Forestry, Timber, Pulp and Paper, Rubber",,29/6/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,bio-familia,bio-familia,https://www.bio-familia.com/ch_de/,,Switzerland,Western European and Others Group (WEOG),,,SME,Food and Beverage Processing,,6/4/2023,,Targets set,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Bioscript Pharmacy Ltd,bioscript pharmacy,https://bioscript.ca/,,Canada,Western European and Others Group (WEOG),,,Company,"Healthcare Providers and Services, and Healthcare Technology",,29/6/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Bioworld Merchandising,bioworld merchandising,http://bioworldmerch.com,,United States of America,Western European and Others Group (WEOG),,,SME,Wearing apparel manufacturing,,22/03/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Bistech PLC,bistech,http://www.bistech.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,29/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,BITE BOOST LTD,bite boost,http://www.biteboost.co.uk,,United Kingdom,Western European and Others Group (WEOG),,,SME,Health and social work,,14/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,BITSHARES LABS,bitshares labs,https://bitshareslabs.com,,Philippines,Asia-Pacific Group,,,SME,Information technology (IT) software and computer related activities,,10/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Blended Concept Pte LTd,blended concept,,,Singapore,Asia-Pacific Group,,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,09/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,BNG Bank,bng bank,http://www.bngbank.nl,,Netherlands,Western European and Others Group (WEOG),,,Financial Institution,"Banks, Diverse Financials, Insurance",,13/4/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Boil and Broth Ltd,boil broth,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Cattle meat processing,,05/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Bollé Brands,bollé brands,https://www.bolle.com/fr/,,France,Western European and Others Group (WEOG),,,SME,"Consumer Durables, Household and Personal Products",,23/3/2023,,Targets set,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Bolsius International BV,bolsius,https://www.bolsius.com/,724500PY6QNASHPLNJ56,Netherlands,Western European and Others Group (WEOG),,,Company,"Consumer Durables, Household and Personal Products",,27/4/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Borçelik Çelik Sanayii Ticaret A.Ş.,borçelik çelik sanayii ticaret,https://www.borcelik.com/,,Turkey,Western European and Others Group (WEOG),,,Company,"Mining - Iron, Aluminum, Other Metals",,18/5/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,BOSS CONSULTING SERVICES LTD,boss consulting services,https://www.boss-consulting.co.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,22/03/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Boxon Group,boxon,www.boxon.com,,Sweden,Western European and Others Group (WEOG),,,SME,Containers and Packaging,,15/6/2023,,Targets set,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Boyd (Shenzhen) Thermal Systems Ltd,boyd (shenzhen) thermal systems,https://www.boydcorp.com/,,United States of America,Western European and Others Group (WEOG),,,Company,Technology Hardware and Equipment,,13/4/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Boyd Plastic and Metal Parts (Shenzhen) Co. Ltd,boyd plastic metal parts (shenzhen),https://www.boydcorp.com/,,United States of America,Western European and Others Group (WEOG),,,Company,Technology Hardware and Equipment,,13/4/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Boyd Vietnam Company Ltd,boyd vietnam,not available,,United States of America,Western European and Others Group (WEOG),,,Company,Technology Hardware and Equipment,,13/4/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Brace Associates,brace associates,http://www.brace-associates.com,,Canada,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,02/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Brash Solutions,brash solutions,,,United Kingdom,Western European and Others Group (WEOG),,,SME,Information technology (IT) software and computer related activities,,07/07/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Bravida Holding AB,bravida,https://www.bravida.se/en/,549300H88IJGPNNL3T61,Sweden,Western European and Others Group (WEOG),,,Company,Construction and Engineering,,9/3/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Brazil Carbon,brazil carbon,http://www.brazil-carbon.network;%20www.brazilcarbon.com;%20www.brazil-carbon.com,,Brazil,Latin American and Caribbean Group (GRULAC),,,SME,Research and development,,19/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Brennans Pharmacy,brennans pharmacy,http://brennanspharmacy.com,,Ireland,Western European and Others Group (WEOG),,,SME,Health and social work,,05/03/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Brian Warrens & Associates Ltd,brian warrens associates,https://brianwarrens.me.uk/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Activities of membership organisations,,14/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,BRIGADE ENTERPRISES LIMITED,brigade enterprises,https://www.brigadegroup.com/,335800QDUUQVHS6II245,India,Asia-Pacific Group,,,Company,Real Estate,,6/7/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Brillio LLC,brillio,https://www.brillio.com/,,United States of America,Western European and Others Group (WEOG),,,Company,Software and Services,,8/6/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,"Brisa - Auto-estradas de Portugal,SA",brisa - auto-estradas portugal,https://www.brisa.pt/pt/,,Portugal,Western European and Others Group (WEOG),,,Company,Ground Transportation - Highways and Railtracks,,9/3/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Broadway,broadway,https://broadwaycolours.com/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Basic plastic manufacturing,,20/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Brook Consultants Inc,brook consultants,http://Brookvms.com,,United States of America,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,31/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Brookfield India Real Estate Trust,brookfield india real estate,https://brookfieldindiareit.in,335800MCXUOZ6TVFEQ25,India,Asia-Pacific Group,,,Company,Real Estate,,20/4/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Brookfield Properties UK,brookfield properties uk,https://www.brookfieldproperties.com/en/who-we-are/global-presence/uk.html,NA,United Kingdom,Western European and Others Group (WEOG),,,Company,Real Estate,,1/6/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Buangdisini,buangdisini,http://www.buangdisini.com,,Indonesia,Asia-Pacific Group,,,SME,Plastic and rubber products manufacturing,,13/03/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Business Upper Austria,upper austria,,,Austria,Western European and Others Group (WEOG),,,SME,Research and development,,30/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,BW,bw,www.wearebw.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and Engineering,,18/5/2023,,Targets set,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,BWI Group,bwi,https://www.bwigroup.com/,,China,Asia-Pacific Group,,,Company,Automobiles and Components,,30/3/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,BXP,bxp,https://www.bxp.com,,United States of America,Western European and Others Group (WEOG),,,Company,Real Estate,,4/5/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,C2 Business Solutions Ltd,c2 solutions,https://c2.ltd/,,United Kingdom,Western European and Others Group (WEOG),,,SME,Other business activities (consultancy legal accounting services advertising employment activities),,27/04/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Cable Giants,cable giants,http://WWW.CABLEGIANTS.COM,,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,29/03/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,CALERAS SAN JUAN,caleras san juan,http://WWW.CALERASSANJUAN.COM,,Argentina,Latin American and Caribbean Group (GRULAC),,,SME,Cement lime and plaster manufacturing,,24/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,CALL LADE ENTERPRISES PTE. LTD.,call lade enterprises,,,Singapore,Asia-Pacific Group,,,SME,Land transport,,08/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Cambridge Associates,cambridge associates,www.cambridgeassociates.com,,United States of America,Western European and Others Group (WEOG),,500M - 1B,Company,Services,$67bn,20/09/2021,Own Website,"Assets Under advice is $481bn, figures as at Dec 2022. ",Jul-23,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,
,Canopy Housing,canopy housing,http://www.canopyhousing.org,,United Kingdom,Western European and Others Group (WEOG),,,SME,Construction and civil engineering,,10/03/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Capital Interchange Limited,interchange,http://capitalinterchange.com,,United Kingdom,Western European and Others Group (WEOG),,,SME,Financial actor not insurance and pension,,27/06/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
,Capricórnio Têxtil,capricórnio têxtil,https://www.capricornio.com.br/,549300MH8OETHBBKJU80,Brazil,Latin American and Caribbean Group (GRULAC),,,Company,"Textiles, Apparel, Footwear and Luxury Goods",,16/3/2023,,Net-Zero Commitment,Jul-23,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Car SAC,car,,,Peru,Latin American and Caribbean Group (GRULAC),,,SME,Land transport,,18/05/2023,,,Jul-23,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,
GCAP32817,Cargojet Airways Ltd.,cargojet airways,www.cargojet.com,549300SDYDKS0HJFVX85,Canada,Western European and Others Group (WEOG),,,Company,Transportation services,,26/05/2022,CDP,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,
,Carlos Hilado Memorial State University,carlos hilado memorial state university,https://chmsu.edu.ph/,,Philippines,Asia-Pacific Group,,,Higher Education,,,14/04/2023,Did not - joined less than 12 months ago,,Jul-23,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,
